iter	RMSE
0	3647.089302
1	3424.536876
2	3217.339714
3	3026.621259
4	2852.026274
5	2686.836215
6	2538.676938
7	2403.70322
8	2276.653582
9	2160.432353
10	2052.967084
11	1957.55548
12	1868.131076
13	1783.087461
14	1704.726287
15	1633.463282
16	1566.250056
17	1503.941264
18	1446.882764
19	1394.650286
20	1348.433022
21	1306.690808
22	1267.205974
23	1228.280225
24	1192.311219
25	1161.660337
26	1133.545099
27	1104.944022
28	1078.74852
29	1054.64421
30	1032.351276
31	1012.147614
32	993.5540158
33	976.6463396
34	961.8020103
35	946.9875635
36	935.737164
37	922.7668218
38	911.9190062
39	901.8863741
40	891.8157801
41	881.9796108
42	873.7092815
43	866.0642616
44	857.0317755
45	850.70655
46	844.5767296
47	839.0733608
48	832.6306771
49	826.5841418
50	821.7834757
51	817.5332942
52	813.6774082
53	810.3014205
54	806.3202983
55	802.5367928
56	799.0310812
57	796.1496924
58	792.6908848
59	790.269986
60	786.7181368
61	783.7262801
62	781.5215928
63	779.9539539
64	777.9536674
65	775.2709394
66	773.6121809
67	771.8564558
68	769.7373044
69	767.8341471
70	766.3728779
71	764.7603773
72	763.5902515
73	762.2019681
74	761.1713252
75	760.0911137
76	759.0981036
77	758.1353368
78	757.2883478
79	755.9265172
80	754.7201285
81	753.2841683
82	752.6304761
83	751.8019365
84	750.6494436
85	748.5866187
86	748.003027
87	747.5506636
88	745.7714762
89	744.5253926
90	743.5966992
91	743.0343466
92	742.3238551
93	741.2562349
94	740.734903
95	740.1127376
96	739.3457419
97	739.017554
98	738.7375259
99	737.5632899
100	737.0769419
101	736.3006374
102	735.9439809
103	735.6610235
104	735.3675698
105	734.984792
106	734.4300289
107	733.9342062
108	733.7359218
109	733.4134274
110	733.1598693
111	733.0594241
112	732.9092353
113	732.3713518
114	731.8642448
115	731.4541972
116	731.0937163
117	730.8554222
118	730.6608871
119	730.2346415
120	730.0277144
121	729.8919787
122	729.6380865
123	729.4498576
124	729.2674266
125	729.0200045
126	728.892189
127	728.6242086
128	728.2824803
129	728.1712339
130	727.9760101
131	727.8006521
132	727.6773341
133	727.3255333
134	727.0764463
135	726.9602299
136	726.6455411
137	726.1200646
138	725.758293
139	725.6583962
140	725.3968084
141	725.2403874
142	725.1230712
143	724.89692
144	724.6837905
145	724.5613342
146	724.390104
