iter	Passed	Remaining
0	5	5790
1	10	5469
2	15	5227
3	20	5075
4	24	4957
5	30	4982
6	35	4988
7	40	4968
8	44	4948
9	50	4986
10	55	5026
11	61	5031
12	66	5024
13	71	5033
14	76	5049
15	82	5055
16	87	5042
17	92	5040
18	97	5041
19	102	5042
20	107	5026
21	112	5018
22	118	5018
23	123	5028
24	129	5049
25	135	5068
26	141	5092
27	147	5121
28	152	5111
29	157	5103
30	163	5105
31	168	5111
32	174	5109
33	179	5106
34	184	5095
35	189	5083
36	194	5067
37	200	5076
38	206	5077
39	211	5072
40	216	5071
41	222	5063
42	227	5052
43	232	5055
44	237	5043
45	242	5031
46	248	5048
47	253	5036
48	260	5048
49	265	5043
50	270	5033
51	275	5028
52	281	5027
53	286	5014
54	291	5013
55	297	5011
56	302	5006
57	309	5020
58	315	5030
59	322	5046
60	329	5076
61	335	5076
62	341	5081
63	347	5076
64	352	5076
65	358	5072
66	365	5095
67	372	5107
68	379	5114
69	384	5113
70	390	5112
71	396	5113
72	402	5112
73	408	5114
74	414	5111
75	421	5124
76	427	5125
77	433	5127
78	439	5126
79	447	5148
80	454	5157
81	460	5155
82	467	5161
83	475	5186
84	485	5223
85	495	5269
86	504	5296
87	513	5316
88	520	5327
89	529	5350
90	536	5363
91	543	5367
92	551	5381
93	560	5406
94	574	5472
95	585	5508
96	595	5542
97	601	5540
98	613	5581
99	621	5596
100	630	5612
101	637	5615
102	645	5622
103	652	5624
104	663	5653
105	670	5654
106	678	5663
107	688	5689
108	701	5731
109	709	5742
110	717	5746
111	726	5763
112	748	5876
113	770	5985
114	782	6023
115	806	6144
116	826	6235
117	845	6317
118	858	6354
119	884	6485
120	901	6552
121	914	6580
122	937	6684
123	955	6749
124	964	6751
125	977	6779
126	990	6810
127	1009	6878
128	1027	6934
129	1035	6929
130	1046	6941
131	1055	6940
132	1064	6936
133	1077	6960
134	1092	7000
135	1106	7026
136	1128	7105
137	1140	7125
138	1148	7114
139	1156	7101
140	1170	7130
141	1176	7110
142	1184	7097
143	1195	7108
144	1204	7100
145	1212	7094
146	1219	7078
