iter	RMSE
0	709160.6031
1	644067.0605
2	584614.0291
3	530826.4447
4	482448.8574
5	438640.4199
6	398732.196
7	362337.3138
8	329952.2254
9	300289.841
10	273447.9177
11	249320.9222
12	227218.2618
13	207459.844
14	189156.2514
15	172692.4109
16	158070.4239
17	144373.2049
18	132178.5519
19	121082.286
20	111018.8809
21	101896.7969
22	93629.72254
23	86197.00974
24	79321.08149
25	73240.97038
26	67662.19275
27	62751.08089
28	58153.89373
29	54193.39006
30	50545.72013
31	47246.24546
32	44221.6486
33	41619.32828
34	39289.02215
35	37177.28934
36	35331.3947
37	33642.32183
38	32195.11944
39	30949.00103
40	29840.70436
41	28900.16903
42	28030.90276
43	27287.59637
44	26608.85391
45	26000.94701
46	25490.58274
47	25045.34484
48	24648.0175
49	24275.15949
50	23943.80052
51	23650.06889
52	23387.31937
53	23165.96687
54	22903.79176
55	22644.64061
56	22421.93995
57	22258.88947
58	22090.25992
59	21905.29746
60	21740.73509
61	21594.18184
62	21435.16079
63	21301.6276
64	21139.57977
65	20990.80614
66	20880.68684
67	20764.10421
68	20649.45844
69	20540.76476
70	20454.63015
71	20371.08809
72	20268.90916
73	20150.24537
74	20050.86498
75	19938.11447
76	19858.54973
77	19781.68475
78	19733.5174
79	19638.9114
80	19498.2746
81	19428.98735
82	19376.70403
83	19223.72991
84	19127.9113
85	19052.03469
86	18944.73661
87	18880.10831
88	18787.16155
89	18741.08925
90	18636.19915
91	18534.90381
92	18452.38554
93	18406.82734
94	18352.91724
95	18297.24365
96	18202.98597
97	18093.42034
98	18054.67407
99	17972.03362
