iter	Passed	Remaining
0	165	16377
1	190	9314
2	214	6941
3	238	5724
4	260	4958
5	284	4455
6	307	4082
7	330	3802
8	354	3583
9	379	3412
10	402	3257
11	426	3124
12	448	2998
13	470	2890
14	494	2804
15	522	2740
16	543	2655
17	565	2575
18	588	2509
19	610	2442
20	631	2376
21	655	2325
22	677	2267
23	698	2212
24	722	2166
25	742	2112
26	763	2063
27	784	2016
28	803	1966
29	822	1919
30	842	1875
31	862	1832
32	880	1788
33	901	1749
34	921	1711
35	942	1674
36	963	1640
37	986	1608
38	1007	1575
39	1029	1544
40	1052	1513
41	1078	1488
42	1101	1460
43	1130	1438
44	1152	1408
45	1180	1385
46	1207	1361
47	1227	1329
48	1246	1297
49	1268	1268
50	1291	1240
51	1311	1210
52	1330	1179
53	1350	1150
54	1372	1122
55	1395	1096
56	1418	1070
57	1437	1040
58	1458	1013
59	1488	992
60	1509	965
61	1531	938
62	1551	911
63	1575	886
64	1601	862
65	1621	835
66	1643	809
67	1663	782
68	1685	757
69	1708	732
70	1729	706
71	1748	680
72	1772	655
73	1794	630
74	1814	604
75	1839	581
76	1860	555
77	1880	530
78	1898	504
79	1918	479
80	1938	454
81	1958	429
82	1978	405
83	1997	380
84	2020	356
85	2043	332
86	2062	308
87	2084	284
88	2108	260
89	2127	236
90	2150	212
91	2173	188
92	2191	164
93	2212	141
94	2232	117
95	2252	93
96	2276	70
97	2295	46
98	2316	23
99	2334	0
